نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي الملقا ,غربية,3,2,3,117,يوجد, لا يوجد,يوجد,3,0.0,1,1179000
شقة, الرياض ,جنوبية غربية,3,2,3,146,يوجد, لا يوجد,يوجد,علوي,0.0,0,1250000
شقة, حي النرجس ,شمالية,3,1,3,132,يوجد, لا يوجد, لا يوجد,غير محدد,0.0,0,1029000
شقة, الرياض ,ثلاث شوارع,4,1,4,151, لا يوجد, لا يوجد, لا يوجد,غير محدد,0.0,0,896000
شقة, حي الياسمين ,غير معروف,3,2,3,191,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1189000
شقة, حي الياسمين ,شمالية,3,1,3,174,يوجد, لا يوجد,يوجد,غير محدد,0.0,0,850000
شقة, حي النرجس ,شرقية,5,1,4,141, لا يوجد, لا يوجد,يوجد,أرضي,0.0,0,985000
شقة, حي المغرزات ,غربية,2,2,3,158,يوجد,يوجد,يوجد,أرضي,0.0,1,1375000
شقة, حي الندى ,جنوبية,3,2,3,142,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1149000
شقة, حي الملقا ,غربية,4,1,4,135, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1250000
شقة, حي حطين ,شمالية,3,2,3,146,يوجد, لا يوجد,يوجد,علوي,10.0,1,1300000
شقة, حي القيروان ,شمالية شرقية,3,1,3,147,يوجد,يوجد,يوجد,ثالث,0.0,0,1079000
شقة, حي النرجس ,غير معروف,3,2,3,124, لا يوجد, لا يوجد,يوجد,غير محدد,0.0,0,859000
شقة, الرياض ,جنوبية غربية,4,1,3,181, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,995000
شقة, حي القيروان ,غير معروف,3,1,3,134,يوجد,يوجد, لا يوجد,علوي,3.0,0,1100000
شقة, حي العارض ,شمالية,3,2,3,141,يوجد, لا يوجد,يوجد,3,0.0,0,959000
شقة, حي الربيع ,غير معروف,3,1,3,110,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,940000
شقة, حي النرجس ,غير معروف,3,1,3,140, لا يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1250000
شقة, حي الملقا ,شرقية,2,1,2,148,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1099000
شقة, حي حطين ,شمالية غربية,2,1,2,107,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,945000
شقة, حي النرجس ,شرقية,3,1,3,163,يوجد,يوجد,يوجد,أرضي,0.0,0,906000
شقة, حي المروج ,شمالية شرقية,3,1,2,130,يوجد, لا يوجد,يوجد,غير محدد,10.0,0,800000
شقة, الرياض ,جنوبية,3,1,3,129,يوجد, لا يوجد,يوجد,أرضي,1.0,0,950000
شقة, حي النرجس ,غربية,4,1,3,160,يوجد, لا يوجد,يوجد,3,0.0,0,920000
شقة, حي الملقا ,شرقية,3,1,3,124,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1100000
شقة, حي الملقا ,غير معروف,3,1,2,100,يوجد,يوجد,يوجد,أرضي,0.0,0,1000000
شقة, حي الوادي ,شمالية,3,1,3,141,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,979000
شقة, حي القيروان ,شمالية,3,2,3,141,يوجد, لا يوجد,يوجد,3,0.0,0,949000
شقة, حي النزهة ,جنوبية شرقية,3,1,3,203,يوجد, لا يوجد, لا يوجد,غير محدد,8.0,0,1500000
شقة, حي العارض ,غير معروف,3,2,3,138,يوجد, لا يوجد,يوجد,علوي,0.0,0,895000
شقة, حي النرجس ,غربية,4,1,4,156, لا يوجد, لا يوجد, لا يوجد,ارضي,0.0,0,1000000
شقة, الرياض ,شمالية شرقية,1,1,2,81, لا يوجد,يوجد,يوجد,20+,3.0,0,1700000
شقة, حي العارض ,غربية,4,2,3,145, لا يوجد,يوجد,يوجد,غير محدد,0.0,0,920000
شقة, حي القيروان ,غير معروف,3,1,3,130,يوجد, لا يوجد,يوجد,علوي,0.0,0,960000
شقة, حي حطين ,شمالية غربية,3,2,3,155,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1245000
شقة, حي النرجس ,غير معروف,3,1,3,151,يوجد, لا يوجد,يوجد,أرضي,0.0,0,846000
شقة, حي الياسمين ,شرقية,3,1,3,129,يوجد,يوجد,يوجد,3,0.0,0,1250000
