نوع العقار,الغرض,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,تجاري, حي اليرموك ,جنوبية,1089,8000,8712000
أرض,تجاري وسكني, حي النسيم الشرقي ,شمالية,840,2500,2100000
أرض,سكني, الرياض ,جنوبية,540,2500,1350000
أرض,سكني, حي المنار ,جنوبية,540,2500,1350000
أرض,سكني, حي الملك فيصل ,جنوبية,1089,3350,3648150
أرض,سكني, حي الشرق ,شرقية,360,2400,864000
أرض,سكني, حي المونسية ,جنوبية,300,4400,1320000
أرض,سكني, حي القادسية ,جنوبية شرقية,510,4019,2049690
أرض,سكني, الرياض ,جنوبية,300,4400,1320000
أرض,سكني, حي المونسية ,شمالية,500,4200,2100000
أرض,سكني, حي المشرق ,شمالية,936,515,482040
أرض,سكني, الرياض ,شمالية,437,2350,1026950
أرض,سكني, حي القدس ,شمالية,437,2350,1026950
أرض,سكني, الرياض ,جنوبية شرقية,381,1800,685800
أرض,سكني, حي الخليج ,شمالية غربية,600,2600,1560000
أرض,سكني, الرياض ,جنوبية,900,2600,2340000
أرض,سكني, حي المونسية ,شمالية,621,2600,1614600
أرض,سكني, حي الرمال ,شمالية شرقية,580,2600,1508000
أرض,سكني, حي السلام ,غربية,360,3339,1202040
أرض,سكني, حي اليرموك ,شمالية,4350,6000,26100000
أرض,سكني, حي الندوة ,شرقية,1200,3000,3600000
أرض,سكني, الرياض ,شمالية,930,3000,2790000
أرض,تجاري وسكني, حي الزاهر ,جنوبية,900,1000,900000
أرض,تجاري وسكني, حي البيان ,شمالية,1500,1000,1500000
أرض,تجاري وسكني, الرياض ,شمالية,312,3300,1029600
أرض,تجاري وسكني, حي القادسية ,شمالية,312,3300,1029600
أرض,تجاري وسكني, حي القادسية ,شرقية,900,3300,2970000
أرض,تجاري وسكني, الرياض ,جنوبية,372,3300,1227600
أرض,تجاري وسكني, حي القادسية ,جنوبية شرقية,306,2700,826200
أرض,تجاري وسكني, حي الجزيرة ,أربع شوارع,1800,2700,4860000
أرض,تجاري وسكني, حي القادسية ,جنوبية,3000,3080,9240000
أرض,تجاري وسكني, الرياض ,جنوبية,750,546,409500
أرض,تجاري وسكني, الرياض ,غربية,900,546,491400
أرض,تجاري وسكني, حي اليرموك ,جنوبية,1089,3400,3702600
أرض,تجاري وسكني, حي المونسية ,شمالية,875,4000,3500000
أرض,تجاري وسكني, حي العلا ,شمالية,1627,4000,6508000
أرض,تجاري وسكني, الرياض ,شمالية,1627,4000,6508000
أرض,تجاري وسكني, حي النهضة ,جنوبية,1089,2850,3103650
أرض,تجاري وسكني, الرياض ,جنوبية,750,467,350250
أرض,تجاري وسكني, الرياض ,جنوبية,9053,4000,36212000
أرض,تجاري وسكني, حي النظيم ,غربية,590,4000,2360000
أرض,تجاري وسكني, حي الصفا ,غربية,400,4000,1600000
أرض,تجاري وسكني, حي النسيم الغربي ,جنوبية,875,1800,1575000
