,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
8730,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,,قطعة أرض-تجارى,8,114739195.3,1745.889094
8734,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المروج,قطعة أرض-تجارى,7,34400000.0,4302.477183
8735,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,المروج,قطعة أرض-تجارى,9,24878000.0,3551.377952
9189,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,8,95872858.0,7978.260869
9190,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,12,115134590.0,4542.692601
9191,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,8,37070000.0,4180.0
9192,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,القيروان,قطعة أرض-تجارى,43,309597946.36,2735.738723
9210,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,بنبان,قطعة أرض-تجارى,15,78210024.03,681.55768
9211,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,بنبان,قطعة أرض-تجارى,8,18979500.0,314.034399
9453,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,20,1756027380.0,332.51895
9454,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,النظيم,قطعة أرض-تجارى,21,1550894590.45,325.128711
9666,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الندى,قطعة أرض-تجارى,7,22774500.0,6057.070821
9965,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الندوة,قطعة أرض-تجارى,7,17200000.0,1640.127388
10084,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الحمراء,قطعة أرض-تجارى,7,50350000.0,5231.081767
10085,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الحمراء,قطعة أرض-تجارى,8,75969999.98,4450.176677
10158,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الخير,قطعة أرض-تجارى,27,304771820.0,1478.822565
10159,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الخير,قطعة أرض-تجارى,29,66263605.0,1522.127528
10160,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الخير,قطعة أرض-تجارى,77,135074545.0,1789.03157
10175,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الخليج,قطعة أرض-تجارى,9,30688707.68,2985.699077
10291,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,106,171876059.81,557.375494
10292,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,,قطعة أرض-تجارى,7,14022354.5,2425.242524
10293,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,,قطعة أرض-تجارى,6,23919766.8,2427.321478
10294,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,,قطعة أرض-تجارى,6,15789988.94,2666.666666
10324,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,,قطعة أرض-تجارى,6,3085000.0,665.109034
10329,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,,قطعة أرض-تجارى,14,61823784.0,3061.915521
10331,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,,قطعة أرض-تجارى,8,25333750.0,2708.159366
10332,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,,قطعة أرض-تجارى,6,7935000.0,2007.189934
10338,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المشاعل,قطعة أرض-تجارى,6,37094527.3,314.929978
10341,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,المشاعل,قطعة أرض-تجارى,11,148796955.8,1818.330082
10342,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المشاعل,قطعة أرض-تجارى,8,230741701.0,509.307503
10347,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,المشاعل,قطعة أرض-تجارى,19,290893704.15,1526.976737
10348,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,المصفاة,قطعة أرض-تجارى,32,194989369.77,679.013027
10352,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,بدر,قطعة أرض-تجارى,14,23822041.0,1191.257409
10353,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,بدر,قطعة أرض-تجارى,39,75717944.14,752.164051
10354,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,بدر,قطعة أرض-تجارى,14,14234800.0,916.217796
10355,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,بدر,قطعة أرض-تجارى,18,37749263.9,1808.166445
10463,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,38,1994141984.0,5361.298123
10464,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,27,425148427.66,3963.917382
10465,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,25,315815171.77,3180.219441
10466,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,36,1153029480.03,4095.651618
10467,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,22,265671115.0,6080.130295
10468,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,31,469226577.05,5045.501687
10469,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,55,427740962.0,4077.327425
10470,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,27,170972985.0,3269.964363
10473,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,15,26074561.4,2385.921322
10496,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,7,16332790.0,2395.860399
