,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
20075,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,8,6772675.0,2645.269605
20076,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,20,21629868.13,1871.485078
20077,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الفيحاء,قطعة أرض-سكنى,19,19502076.08,1832.069682
20091,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,122,75786537.35,1396.18279
20092,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,104,57634057.24,1426.831712
20093,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,151,86853446.91,1303.841537
20094,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العريجاء,قطعة أرض-سكنى,155,78297954.78,1209.795291
20123,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الرمال,قطعة أرض-سكنى,325,267845853.63,1193.871065
20124,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الرمال,قطعة أرض-سكنى,106,72738812.04,752.694633
20125,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,7,2615100.0,699.602591
20126,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,5,2240367.0,
20127,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,2,683825.0,
20128,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,17,1365000.0,214.932646
20139,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,21,16616664.06,1628.467345
20140,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,28,17700078.35,1386.903075
20141,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,السويدي,قطعة أرض-سكنى,3,1330000.0,
20142,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الغنامية,قطعة أرض-سكنى,9,910550.0,216.786231
20143,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الغنامية,قطعة أرض-سكنى,31,3522680.0,296.513337
20144,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الغنامية,قطعة أرض-سكنى,14,16972943.5,230.309272
