,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
2034,شمالية,5,2,5,20.0,1,0,0,1,0,1,1,1,0,375,0,1,0,0,0,0,عكاظ,جنوب الرياض,1200000.0,3200.0
2035,شرقية,4,3,4,20.0,1,0,0,1,1,1,1,1,0,250,1,1,0,0,0,0,طويق,غرب الرياض,1230000.0,4920.0
2036,جنوبية,3,1,2,5.0,1,0,0,0,0,1,1,1,0,275,2,1,0,0,0,0,السعادة,شرق الرياض,1650000.0,6000.0
2037,شمالية,4,2,5,20.0,1,0,0,1,1,1,1,1,0,458,2,1,0,0,0,0,الرمال,شرق الرياض,2600000.0,5676.855895
2038,جنوبية,3,3,5,20.0,0,0,1,0,0,1,1,1,1,262,0,1,1,0,0,0,النرجس,شمال الرياض,3000000.0,11450.38168
2039,شرقية,4,3,4,20.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3500.0
2040,غربية,5,2,5,16.0,0,0,0,1,1,1,1,1,0,300,0,1,0,0,0,0,بدر,جنوب الرياض,930000.0,3100.0
2041,غربية,4,3,5,20.0,1,0,0,0,1,1,0,1,0,200,0,1,1,0,0,0,المهدية,غرب الرياض,1600000.0,8000.0
2043,شرقية,4,2,4,20.0,1,0,0,1,1,1,1,1,0,270,1,0,0,0,0,0,الرمال,شرق الرياض,1500000.0,5555.555556
2044,غربية,5,2,5,15.0,0,1,0,1,0,1,0,1,1,200,0,1,0,0,0,0,ظهرة لبن,غرب الرياض,1200000.0,6000.0
2045,شمالية شرقية,4,3,4,15.0,1,0,0,0,0,1,1,1,0,220,1,1,0,0,0,0,المونسية,شرق الرياض,1850000.0,8409.090909
2046,شمالية,5,1,5,15.0,1,0,1,0,1,1,1,1,0,450,0,1,1,0,1,0,الملقا,شمال الرياض,5450000.0,12111.11111
2047,جنوبية,4,2,5,20.0,0,0,1,0,0,0,1,1,0,372,1,1,1,0,0,0,العارض,شمال الرياض,3000000.0,8064.516129
2048,غربية,4,2,4,16.0,1,0,0,0,1,1,0,1,0,315,1,1,0,0,0,0,بدر,جنوب الرياض,1100000.0,3492.063492
2049,جنوبية,1,5,5,20.0,0,0,0,0,0,1,0,0,0,234,0,0,0,0,0,0,شبرا,غرب الرياض,1500000.0,6410.25641
2050,شمالية,4,2,5,15.0,1,16,1,0,1,1,1,1,0,390,0,1,0,0,0,0,النخيل,شمال الرياض,4000000.0,10256.41026
2051,جنوبية,3,1,4,17.0,0,0,1,0,0,1,1,1,0,360,2,1,1,0,0,0,النهضة,شرق الرياض,2200000.0,6111.111111
2052,جنوبية,5,2,5,15.0,1,0,1,0,1,1,1,1,0,386,1,1,1,0,0,0,العارض,شمال الرياض,3500000.0,9067.357513
2053,شرقية,5,1,3,20.0,0,5,1,0,0,1,0,1,0,400,0,0,0,0,0,0,الياسمين,شمال الرياض,3600000.0,9000.0
2054,شرقية,4,3,5,14.0,0,0,0,1,1,1,0,1,0,390,0,0,0,0,0,0,طويق,غرب الرياض,880000.0,2256.410256
2055,جنوبية,5,3,5,18.0,1,0,0,1,1,1,1,1,0,312,1,1,0,0,0,0,الرمال,شرق الرياض,1450000.0,4647.435897
2056,شمالية,4,1,3,17.0,1,0,1,1,0,1,0,1,1,200,0,1,1,0,0,0,طويق,غرب الرياض,980000.0,4900.0
2057,جنوبية,4,2,4,15.0,0,0,1,0,1,1,0,1,0,415,0,1,0,0,0,0,الملقا,شمال الرياض,56500000.0,136144.5783
2058,شرقية,5,3,5,15.0,1,0,0,0,1,1,0,1,1,250,0,1,0,0,1,0,طويق,غرب الرياض,1350000.0,5400.0
2059,جنوبية,4,2,5,15.0,1,0,1,0,0,1,1,1,0,300,0,1,1,0,1,0,الندى,شمال الرياض,3500000.0,11666.66667
